onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4194	1.6000	dynamic	10	1	0	92	83	151.9737
7.9863	1.6000	dynamic	10	1	0	92	94	86.0526
12.5687	1.6000	dynamic	10	0	0	92	96	90.7895
17.1518	1.6000	dynamic	10	1	0	92	106	94.7368
21.7348	1.6000	dynamic	10	1	0	92	86	101.8421
26.3179	1.6000	dynamic	10	1	0	92	105	88.4211
30.9012	1.6000	dynamic	10	1	1	103	107	94.7368
35.4839	1.6000	dynamic	10	1	0	103	90	100.2632
40.0672	1.6000	dynamic	10	1	0	103	112	98.2895
44.6333	1.6000	dynamic	10	1	0	103	87	102.2368
49.2000	1.6000	dynamic	10	1	0	103	106	98.2895
53.7830	1.6000	dynamic	10	1	0	103	103	100.6579
58.3494	1.6000	dynamic	10	0	0	103	101	101.8421
62.9324	1.6000	dynamic	10	1	0	103	115	102.2368
67.5154	1.6000	dynamic	10	1	0	103	89	103.0263
72.0982	1.6000	dynamic	10	1	0	103	95	106.1842
76.6812	1.6000	dynamic	10	0	0	103	102	105.0000
81.2644	1.6000	dynamic	10	1	0	103	90	103.4211
85.8477	1.6000	dynamic	10	1	0	103	97	101.8421
90.4307	1.6000	dynamic	10	0	0	103	109	102.2368
95.0134	1.6000	dynamic	10	0	0	103	99	101.8421
99.5965	1.6000	dynamic	10	0	0	103	98	99.4737
104.1810	1.6000	dynamic	10	1	0	103	106	99.4737
108.7628	1.6000	dynamic	10	0	1	107	117	103.8158
113.3459	1.6000	dynamic	10	0	0	107	97	105.3947
117.9289	1.6000	dynamic	10	0	0	107	106	106.5789
122.5119	1.6000	dynamic	10	1	0	107	112	105.7895
127.0946	1.6000	dynamic	10	1	0	107	112	108.9474
131.6777	1.6000	dynamic	10	1	0	107	104	109.7368
136.2607	1.6000	dynamic	10	1	0	107	112	106.1842
140.8438	1.6000	dynamic	10	1	0	107	101	110.9211
145.4438	1.6000	dynamic	10	1	0	107	115	108.9474
150.0265	1.6000	dynamic	10	1	0	107	118	111.3158
154.6099	1.6000	dynamic	10	1	0	107	100	114.4737
159.2093	1.6000	dynamic	10	1	0	107	120	113.2895
163.7924	1.6000	dynamic	10	1	0	107	121	112.8947
168.3924	1.6000	dynamic	10	1	0	107	111	115.6579
172.9921	1.6000	dynamic	10	1	1	17	9	113.6842
177.5748	1.6000	dynamic	10	1	0	17	24	15.3947
182.1745	1.6000	dynamic	10	1	0	17	30	16.9737
186.7575	1.6000	dynamic	10	0	0	17	20	25.6579
191.3572	1.6000	dynamic	10	0	0	17	28	23.2895
195.9572	1.6000	dynamic	10	0	1	233	245	26.4474
200.5569	1.6000	dynamic	10	0	0	233	240	245.5263
205.1397	1.6000	dynamic	10	1	0	233	218	243.9474
209.7398	1.6000	dynamic	10	1	0	233	205	234.0789
214.3394	1.6000	dynamic	10	1	0	233	223	223.0263
218.9225	1.6000	dynamic	10	1	0	233	227	221.8421
223.5221	1.6000	dynamic	10	0	1	70	71	226.1842
228.1217	1.6000	dynamic	10	1	0	70	72	74.2105
232.7046	1.6000	dynamic	10	1	0	70	81	71.0526
237.3052	1.6000	dynamic	10	1	1	60	69	78.1579
241.9043	1.6000	dynamic	10	1	0	60	55	71.0526
246.5204	1.6000	dynamic	10	1	0	60	66	67.8947
251.1201	1.6000	dynamic	10	1	0	60	52	67.1053
255.7199	1.6000	dynamic	10	1	0	60	90	63.1579
260.3196	1.6000	dynamic	10	1	0	60	67	69.0789
264.9194	1.6000	dynamic	10	1	0	60	46	67.8947
269.5190	1.6000	dynamic	10	1	0	60	74	66.7105
274.1187	1.6000	dynamic	10	1	1	286	297	67.5000
278.7183	1.6000	dynamic	10	0	0	286	268	292.5000
283.3205	1.6000	dynamic	10	0	0	286	295	279.8684
287.9347	1.6000	dynamic	10	0	0	286	283	283.4211
292.5675	1.6000	dynamic	10	0	0	286	289	283.0263
297.1671	1.6000	dynamic	10	0	1	190	188	285.0000
301.7668	1.6000	dynamic	10	0	0	190	179	191.4474
306.3665	1.6000	dynamic	10	0	0	190	196	186.7105
310.9661	1.6000	dynamic	10	0	0	190	196	191.0526
315.5662	1.6000	dynamic	10	1	0	190	204	195.0000
320.1659	1.6000	dynamic	10	0	0	190	200	198.1579
324.7657	1.6000	dynamic	10	1	1	165	162	199.3421
329.3817	1.6000	dynamic	10	0	0	165	173	188.6842
333.9981	1.6000	dynamic	10	1	0	165	168	183.9474
338.6144	1.6000	dynamic	10	1	1	147	144	179.6053
343.2308	1.6000	dynamic	10	1	0	147	132	170.1316
347.8475	1.6000	dynamic	10	0	0	147	135	149.6053
352.4639	1.6000	dynamic	10	1	0	147	128	140.9211
357.0801	1.6000	dynamic	10	0	0	147	162	135.7895
361.6967	1.6000	dynamic	10	0	0	147	153	146.0526
366.3127	1.6000	dynamic	10	1	0	147	144	150.3947
370.9290	1.6000	dynamic	10	0	0	147	142	149.2105
375.5454	1.6000	dynamic	10	1	0	147	143	145.6579
380.1621	1.6000	dynamic	10	1	0	147	141	146.0526
384.7785	1.6000	dynamic	10	1	0	147	134	144.8684
389.4114	1.6000	dynamic	10	1	0	147	163	142.5000
394.0279	1.6000	dynamic	10	1	0	147	161	149.6053
398.6443	1.6000	dynamic	10	0	0	147	138	153.9474
403.2770	1.6000	dynamic	10	1	0	147	162	149.2105
407.9100	1.6000	dynamic	10	1	0	147	138	155.1316
412.5264	1.6000	dynamic	10	1	0	147	146	148.0263
417.1598	1.6000	dynamic	10	0	0	147	155	146.0526
421.7928	1.6000	dynamic	10	0	1	39	48	150.0000
426.4255	1.6000	dynamic	10	1	0	39	38	50.5263
431.0585	1.6000	dynamic	10	1	0	39	53	45.3947
435.6919	1.6000	dynamic	10	0	0	39	41	48.9474
440.3249	1.6000	dynamic	10	0	0	39	46	46.9737
444.9579	1.6000	dynamic	10	0	0	39	39	45.0000
449.5907	1.6000	dynamic	10	1	0	39	38	44.2105
454.2236	1.6000	dynamic	10	0	0	39	18	44.2105
458.8568	1.6000	dynamic	10	1	0	39	48	39.4737
463.4901	1.6000	dynamic	10	1	0	39	44	45.7895
468.1231	1.6000	dynamic	10	1	0	39	35	41.8421
472.7558	1.6000	dynamic	10	0	0	39	32	38.6842
477.3889	1.6000	dynamic	10	1	0	39	26	43.4211
482.0223	1.6000	dynamic	10	1	0	39	25	40.2632
486.6550	1.6000	dynamic	10	1	0	39	37	40.6579
491.3049	1.6000	dynamic	10	1	0	39	43	41.4474
495.9547	1.6000	dynamic	10	0	0	39	32	41.8421
500.6044	1.6000	dynamic	10	0	0	39	30	41.0526
505.2541	1.6000	dynamic	10	1	0	39	47	38.6842
509.9036	1.6000	dynamic	10	0	0	39	59	44.2105
514.5535	1.6000	dynamic	10	0	0	39	43	50.5263
519.2031	1.6000	dynamic	10	1	0	39	26	45.3947
523.8529	1.6000	dynamic	10	1	0	39	33	42.2368
528.5025	1.6000	dynamic	10	0	0	39	39	47.3684
533.1524	1.6000	dynamic	10	0	0	39	46	43.8158
537.8020	1.6000	dynamic	10	0	0	39	56	44.6053
542.4518	1.6000	dynamic	10	0	0	39	61	46.1842
547.1011	1.6000	dynamic	10	0	0	39	49	53.2895
551.7512	1.6000	dynamic	10	0	0	39	40	51.3158
